init,seed,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
kmeans,2,250,3,5,3,-1253.6162410235079,"[[0.23593964 0.04389575 0.48010974 0.0877915  0.15363512]
 [0.66803841 0.18655693 0.66803841 0.29080933 0.33196159]
 [0.84636488 0.23593964 0.69821674 0.10973937 0.6351166 ]]","[[3 1 1 3 1]
 [1 1 1 3 3]
 [1 3 2 2 3]]",[0.35204979 0.33140533 0.31654488],0.1596541404724121,0.055916951401177264,0.3333333333333333,0.08039970148255479
kmeans,3,250,3,5,3,-1110.2372257439417,"[[0.70919067 0.95610425 0.81344307 0.95610425 0.29080933]
 [0.45816187 0.40877915 0.59122085 0.40877915 0.14266118]
 [0.56927298 0.18655693 0.33196159 0.33470508 0.40877915]]","[[1 2 2 3 2]
 [3 2 2 3 1]
 [3 1 2 1 1]]",[0.40850027 0.20388996 0.38760977],0.1424121856689453,0.09882777906346667,0.3333333333333333,0.09567067380832663
kmeans,4,250,3,5,3,-1132.753554667262,"[[0.04389575 0.69821674 0.76406036 0.51989026 0.43072702]
 [0.43072702 0.74211248 0.25788752 0.3648834  0.89026063]
 [0.74211248 0.2085048  0.0877915  0.37585734 0.95610425]]","[[2 3 2 1 1]
 [1 1 2 2 1]
 [1 3 1 3 1]]",[0.47585466 0.21930452 0.30484082],0.08091378211975098,0.19710394224119324,0.26666666666666666,0.13160870343489045
kmeans,5,250,3,5,3,-1153.1805412042013,"[[0.54183813 0.84636488 0.54183813 0.89026063 0.04389575]
 [0.04389575 0.04389575 0.95610425 0.66803841 0.45816187]
 [0.74211248 0.18655693 0.15363512 0.76406036 0.66803841]]","[[3 2 3 3 1]
 [2 1 1 3 1]
 [3 2 1 2 2]]",[0.29779756 0.39786875 0.30433369],0.11650800704956055,0.02889079557101923,0.06666666666666667,0.02918473287697351
kmeans,6,250,3,5,3,-1049.7593883881411,"[[0.69821674 0.7914952  0.56927298 0.29080933 0.04389575]
 [0.70919067 0.9122085  0.40877915 0.66529492 0.76406036]
 [0.48010974 0.9122085  0.0877915  0.40877915 0.25788752]]","[[3 2 1 3 1]
 [3 1 3 2 2]
 [3 2 3 2 2]]",[0.26201978 0.54754392 0.1904363 ],0.06791114807128906,0.05562310582772571,0.13333333333333333,0.03386459942199614
kmeans,7,250,3,5,3,-1123.8361594691983,"[[0.7914952  0.48010974 0.0877915  0.33196159 0.9122085 ]
 [0.2085048  0.51989026 0.95610425 0.0877915  0.66529492]
 [0.89026063 0.10973937 0.74211248 0.95610425 0.15363512]]","[[1 2 2 1 2]
 [3 1 2 1 3]
 [3 2 3 1 1]]",[0.23417294 0.39515604 0.37067103],0.06725811958312988,0.014093429433129068,0.13333333333333333,0.01916656100374101
kmeans,8,250,3,5,3,-1175.2333634721226,"[[0.74211248 0.52400549 0.81344307 0.84636488 0.95610425]
 [0.59122085 0.40877915 0.95610425 0.40877915 0.10973937]
 [0.04389575 0.95610425 0.04389575 0.30178326 0.0877915 ]]","[[1 2 2 2 3]
 [1 1 1 2 2]
 [3 2 3 1 2]]",[0.0862834  0.24502054 0.66869605],0.24040603637695312,0.030802157206295692,0.13333333333333333,0.03082216657113418
kmeans,9,250,3,5,3,-1093.6231267825956,"[[0.70919067 0.95610425 0.66803841 0.54183813 0.66803841]
 [0.40877915 0.6351166  0.45816187 0.30178326 0.69821674]
 [0.81344307 0.51989026 0.04389575 0.15363512 0.9122085 ]]","[[1 1 3 2 1]
 [3 1 3 2 3]
 [1 3 1 2 3]]",[0.43904466 0.32917482 0.23178052],0.04773712158203125,0.0762998709398199,0.26666666666666666,0.084048102548835
random,0,250,5,3,2,-475.16692025832276,"[[0.04389575 0.33196159 0.48010974]
 [0.76406036 0.54183813 0.43072702]
 [0.85733882 0.40877915 0.6351166 ]
 [0.45816187 0.95610425 0.14266118]
 [0.81344307 0.40877915 0.76406036]]","[[2 2 2]
 [1 2 2]
 [2 2 2]
 [2 2 1]
 [1 2 1]]",[0.20009367 0.20197387 0.2004743  0.22641866 0.1710395 ],0.029118061065673828,0.04251673107061745,0.16666666666666666,0.04307150835089112
random,1,250,5,3,2,-413.8353180572847,"[[0.62414266 0.89026063 0.56927298]
 [0.33196159 0.37585734 0.6351166 ]
 [0.2085048  0.54183813 0.95610425]
 [0.45816187 0.40877915 0.95610425]
 [0.76406036 0.74211248 0.89026063]]","[[2 2 1]
 [1 2 2]
 [2 2 2]
 [1 1 2]
 [1 2 2]]",[0.08789043 0.23016855 0.24054702 0.20159005 0.23980395],0.04178786277770996,0.08210690632752123,0.0,0.10255391036131382
random,2,250,5,3,2,-507.66702838639384,"[[0.14266118 0.51989026 0.56927298]
 [0.70919067 0.51989026 0.43072702]
 [0.66803841 0.81344307 0.37585734]
 [0.66803841 0.45816187 0.25788752]
 [0.95610425 0.15363512 0.2085048 ]]","[[1 2 2]
 [1 1 2]
 [1 2 1]
 [2 1 2]
 [2 2 2]]",[0.19386333 0.14790516 0.24348371 0.2134175  0.2013303 ],0.025921106338500977,0.14273341534972386,0.0,0.08096269982398588
random,3,250,5,3,2,-475.0807071304472,"[[0.43072702 0.25788752 0.81344307]
 [0.25788752 0.6351166  0.0877915 ]
 [0.37585734 0.33470508 0.95610425]
 [0.74211248 0.95610425 0.15363512]
 [0.52400549 0.15363512 0.40877915]]","[[1 1 2]
 [2 1 1]
 [1 2 2]
 [2 1 2]
 [2 1 1]]",[0.26524814 0.16419852 0.20554798 0.22142672 0.14357864],0.09411406517028809,0.1340050374572266,0.16666666666666666,0.119295681053784
random,4,250,5,3,2,-481.077315858207,"[[0.81344307 0.95610425 0.76406036]
 [0.04389575 0.43072702 0.14266118]
 [0.48010974 0.43072702 0.70919067]
 [0.51989026 0.30178326 0.48010974]
 [0.76406036 0.04389575 0.18655693]]","[[1 1 2]
 [2 2 1]
 [2 1 1]
 [2 1 1]
 [2 2 2]]",[0.32958293 0.16076233 0.17113137 0.15222978 0.18629359],0.3174269199371338,0.14804191995808114,0.16666666666666666,0.12721176430062234
random,5,250,5,3,2,-491.4292843430907,"[[0.33470508 0.95610425 0.66803841]
 [0.66529492 0.81344307 0.45816187]
 [0.76406036 0.25788752 0.30178326]
 [0.48010974 0.70919067 0.23593964]
 [0.25788752 0.89026063 0.54183813]]","[[2 1 2]
 [2 1 1]
 [1 2 1]
 [2 1 1]
 [1 2 1]]",[0.15545929 0.21362138 0.1944589  0.19559024 0.24087018],0.04770994186401367,0.08636847481681581,0.3333333333333333,0.21141438015769584
random,6,250,5,3,2,-476.34298031088474,"[[0.66803841 0.48010974 0.81344307]
 [0.74211248 0.40877915 0.18655693]
 [0.04389575 0.7914952  0.9122085 ]
 [0.25788752 0.33470508 0.15363512]
 [0.66529492 0.66803841 0.81344307]]","[[1 2 2]
 [1 1 2]
 [2 1 1]
 [2 2 2]
 [1 2 2]]",[0.20589695 0.1839041  0.23303104 0.16420415 0.21296377],0.051527976989746094,0.1506914884393246,0.3333333333333333,0.23011569016476865
random,7,250,5,3,2,-494.46810773027374,"[[0.04389575 0.3648834  0.33470508]
 [0.9122085  0.3648834  0.56927298]
 [0.76406036 0.74211248 0.9122085 ]
 [0.33196159 0.9122085  0.18655693]
 [0.6351166  0.59122085 0.7914952 ]]","[[2 1 2]
 [1 2 2]
 [2 2 1]
 [2 1 2]
 [1 2 1]]",[0.13989087 0.23728805 0.25924134 0.19182931 0.17175044],0.028867006301879883,0.09014092900022441,0.0,0.134409812914816
random,8,250,5,3,2,-483.59942282246084,"[[0.18655693 0.89026063 0.9122085 ]
 [0.0877915  0.51989026 0.04389575]
 [0.85733882 0.18655693 0.33196159]
 [0.29080933 0.23593964 0.69821674]
 [0.43072702 0.89026063 0.04389575]]","[[2 1 2]
 [2 2 1]
 [1 1 1]
 [2 1 2]
 [2 1 2]]",[0.20231655 0.12904521 0.20608077 0.22967053 0.23288695],0.05318498611450195,0.1073268129404266,0.16666666666666666,0.2784820382374925
random,9,250,5,3,2,-414.6951419899782,"[[0.10973937 0.95610425 0.45816187]
 [0.2085048  0.51989026 0.74211248]
 [0.95610425 0.74211248 0.2085048 ]
 [0.33470508 0.54183813 0.25788752]
 [0.9122085  0.70919067 0.69821674]]","[[1 1 1]
 [2 1 1]
 [2 1 1]
 [1 1 1]
 [2 1 1]]",[0.23625765 0.2004902  0.14961299 0.22500535 0.18863381],0.04870295524597168,0.10853419404427063,0.16666666666666666,0.20588836424169363
kmeans,0,250,5,3,2,-475.11611977577934,"[[0.95610425 0.51989026 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.43072702 0.95610425 0.95610425]
 [0.95610425 0.54183813 0.95610425]]","[[2 2 2]
 [2 2 1]
 [1 2 1]
 [1 1 1]
 [1 2 2]]",[0.32054423 0.15197374 0.18718902 0.08554495 0.25474805],0.014039993286132812,0.15149626537498187,0.6666666666666666,0.38677299068951293
kmeans,1,250,5,3,2,-413.4420352362614,"[[0.95610425 0.95610425 0.84636488]
 [0.95610425 0.95610425 0.81344307]
 [0.95610425 0.95610425 0.95610425]
 [0.33196159 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]]","[[2 1 2]
 [1 1 2]
 [2 2 2]
 [2 2 1]
 [1 2 2]]",[0.09372407 0.20139753 0.20985628 0.09869487 0.39632725],0.01397085189819336,0.15460042938574256,0.5,0.32644570376103643
kmeans,2,250,5,3,2,-507.5256869954257,"[[0.18655693 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.33196159]
 [0.95610425 0.95610425 0.33470508]
 [0.95610425 0.95610425 0.95610425]]","[[1 2 1]
 [1 2 2]
 [1 1 2]
 [2 1 2]
 [2 2 2]]",[0.26568167 0.15703676 0.16276887 0.25779711 0.15671559],0.010766029357910156,0.16695690516884445,0.3333333333333333,0.36470648937313593
kmeans,3,250,5,3,2,-474.5708327860349,"[[0.95610425 0.95610425 0.59122085]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.23593964 0.95610425 0.33196159]
 [0.95610425 0.95610425 0.95610425]]","[[1 1 2]
 [1 2 2]
 [2 1 2]
 [2 2 2]
 [2 1 1]]",[0.25808372 0.10973188 0.22846414 0.2146752  0.18904506],0.04205489158630371,0.15953971033884784,0.6666666666666666,0.5090613801888662
kmeans,4,250,5,3,2,-481.0572806509868,"[[0.40877915 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.48010974]
 [0.43072702 0.95610425 0.0877915 ]]","[[2 2 1]
 [2 1 2]
 [2 1 1]
 [1 1 2]
 [2 2 2]]",[0.07760694 0.10675617 0.18445598 0.39253048 0.23865042],0.05498695373535156,0.34314693890506165,0.6666666666666666,0.4379535883086982
kmeans,5,250,5,3,2,-491.22350235330293,"[[0.95610425 0.14266118 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.59122085 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.40877915 0.95610425]]","[[1 1 2]
 [1 2 1]
 [2 1 2]
 [1 1 1]
 [2 1 1]]",[0.16389124 0.1991874  0.21903363 0.09500482 0.32288292],0.014497041702270508,0.13002390513979642,0.5,0.4978813975104332
kmeans,6,250,5,3,2,-476.1805895714011,"[[0.95610425 0.43072702 0.95610425]
 [0.54183813 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.48010974 0.95610425 0.95610425]]","[[2 1 1]
 [1 2 2]
 [1 2 1]
 [1 1 1]
 [1 1 2]]",[0.17553026 0.40702457 0.06500867 0.16322531 0.1892112 ],0.013846874237060547,0.1747654326145325,0.8333333333333334,0.324062508610627
kmeans,7,250,5,3,2,-494.3156679957008,"[[0.95610425 0.95610425 0.95610425]
 [0.0877915  0.95610425 0.25788752]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.69821674 0.95610425 0.95610425]]","[[2 2 1]
 [1 1 2]
 [1 2 1]
 [2 1 1]
 [1 2 2]]",[0.23229789 0.37619277 0.16916378 0.04426831 0.17807726],0.0579838752746582,0.19555189583129082,0.5,0.4295053541287139
kmeans,8,250,5,3,2,-483.1722184545465,"[[0.95610425 0.95610425 0.95610425]
 [0.95610425 0.48010974 0.95610425]
 [0.40877915 0.95610425 0.95610425]
 [0.95610425 0.48010974 0.95610425]
 [0.95610425 0.95610425 0.95610425]]","[[2 1 1]
 [1 1 2]
 [1 2 1]
 [2 1 2]
 [1 1 1]]",[0.10976004 0.27121258 0.1248671  0.37516173 0.11899855],0.010855913162231445,0.23264704010510573,0.5,0.48935047135376264
kmeans,9,250,5,3,2,-414.67719889591865,"[[0.95610425 0.70919067 0.95610425]
 [0.30178326 0.95610425 0.95610425]
 [0.95610425 0.95610425 0.95610425]
 [0.95610425 0.70919067 0.95610425]
 [0.95610425 0.95610425 0.95610425]]","[[1 1 2]
 [2 2 1]
 [1 1 1]
 [2 1 2]
 [2 1 1]]",[0.09913969 0.10189548 0.23151784 0.14985035 0.41759664],0.014081001281738281,0.3151147570166582,0.5,0.38297636038421506
random,0,250,5,3,3,-734.9721201556652,"[[0.56927298 0.95610425 0.04389575]
 [0.48010974 0.23593964 0.76406036]
 [0.70919067 0.84636488 0.95610425]
 [0.81344307 0.04389575 0.66803841]
 [0.10973937 0.66529492 0.2085048 ]]","[[1 2 2]
 [2 2 3]
 [1 3 1]
 [1 1 3]
 [2 3 2]]",[0.29663033 0.13265229 0.17252466 0.18939111 0.20880161],0.10588216781616211,0.086203010556355,0.2222222222222222,0.07920373808218358
random,1,250,5,3,3,-715.52698457996,"[[0.84636488 0.04389575 0.66529492]
 [0.23593964 0.81344307 0.25788752]
 [0.33196159 0.48010974 0.33196159]
 [0.59122085 0.74211248 0.89026063]
 [0.10973937 0.76406036 0.89026063]]","[[2 3 1]
 [2 1 1]
 [1 3 1]
 [2 1 3]
 [2 3 1]]",[0.20905969 0.30859044 0.08574018 0.10427411 0.29233559],0.1395881175994873,0.23758775632572618,0.4444444444444444,0.19461061597162688
random,2,250,5,3,3,-782.8769497734626,"[[0.51989026 0.2085048  0.66803841]
 [0.85733882 0.48010974 0.89026063]
 [0.04389575 0.54183813 0.23593964]
 [0.18655693 0.10973937 0.04389575]
 [0.6351166  0.0877915  0.15363512]]","[[1 2 1]
 [3 3 1]
 [3 2 2]
 [3 2 1]
 [1 2 3]]",[0.16284077 0.19237769 0.22571206 0.1754435  0.24362597],0.10786890983581543,0.08007003114562318,0.1111111111111111,0.051289186670169226
random,3,250,5,3,3,-786.7887759476241,"[[0.81344307 0.10973937 0.37585734]
 [0.3648834  0.56927298 0.30178326]
 [0.84636488 0.81344307 0.95610425]
 [0.40877915 0.66529492 0.0877915 ]
 [0.48010974 0.33196159 0.56927298]]","[[3 1 2]
 [1 1 1]
 [2 2 3]
 [2 2 3]
 [2 3 1]]",[0.29845728 0.21949893 0.09424775 0.20511646 0.18267958],0.07515215873718262,0.06529549141019485,0.0,0.06877177578432546
random,4,250,5,3,3,-661.3584594855969,"[[0.62414266 0.54183813 0.76406036]
 [0.95610425 0.0877915  0.69821674]
 [0.66529492 0.0877915  0.25788752]
 [0.95610425 0.43072702 0.95610425]
 [0.70919067 0.89026063 0.25788752]]","[[3 2 2]
 [2 1 1]
 [2 1 3]
 [1 2 3]
 [2 1 1]]",[0.05455898 0.22926925 0.08184829 0.3633084  0.27101509],0.15442109107971191,0.054740809273196,0.2222222222222222,0.10183439348561779
random,5,250,5,3,3,-706.6350576893387,"[[0.66803841 0.9122085  0.25788752]
 [0.81344307 0.30178326 0.43072702]
 [0.2085048  0.89026063 0.40877915]
 [0.95610425 0.89026063 0.3648834 ]
 [0.2085048  0.9122085  0.89026063]]","[[3 2 3]
 [3 1 2]
 [2 1 3]
 [1 3 1]
 [1 2 2]]",[0.30855249 0.22354639 0.17613678 0.02898234 0.262782  ],0.14464497566223145,0.04815295587014432,0.1111111111111111,0.08487622967759492
random,6,250,5,3,3,-715.628334201429,"[[0.9122085  0.84636488 0.48010974]
 [0.48010974 0.18655693 0.89026063]
 [0.85733882 0.10973937 0.37585734]
 [0.81344307 0.70919067 0.76406036]
 [0.48010974 0.40877915 0.51989026]]","[[3 2 1]
 [3 2 3]
 [1 3 2]
 [2 2 2]
 [3 2 1]]",[0.2775472  0.31094951 0.10399583 0.17704226 0.1304652 ],0.06850910186767578,0.05435806985219852,0.0,0.08758561026161221
random,7,250,5,3,3,-747.4334396886192,"[[0.2085048  0.9122085  0.0877915 ]
 [0.74211248 0.40877915 0.10973937]
 [0.33470508 0.95610425 0.0877915 ]
 [0.45816187 0.95610425 0.23593964]
 [0.48010974 0.89026063 0.43072702]]","[[1 2 3]
 [1 2 1]
 [1 2 2]
 [3 3 1]
 [3 1 1]]",[0.24919842 0.21667384 0.25901821 0.21488337 0.06022616],0.093048095703125,0.05889244446754446,0.3333333333333333,0.15304302629844
random,8,250,5,3,3,-748.0094173033092,"[[0.74211248 0.48010974 0.6351166 ]
 [0.81344307 0.48010974 0.18655693]
 [0.10973937 0.95610425 0.25788752]
 [0.25788752 0.43072702 0.95610425]
 [0.15363512 0.66529492 0.10973937]]","[[1 2 2]
 [2 3 1]
 [1 1 2]
 [3 1 2]
 [3 1 3]]",[0.15401976 0.17493414 0.29601612 0.16190394 0.21312604],0.1133279800415039,0.10135748796918127,0.1111111111111111,0.1031869322878099
random,9,250,5,3,3,-748.6049478145965,"[[0.2085048  0.54183813 0.40877915]
 [0.56927298 0.89026063 0.89026063]
 [0.6351166  0.10973937 0.33196159]
 [0.9122085  0.18655693 0.89026063]
 [0.66803841 0.33196159 0.04389575]]","[[3 1 3]
 [2 3 1]
 [3 2 2]
 [3 1 1]
 [3 2 1]]",[0.28246518 0.16991981 0.24349663 0.15505124 0.14906714],0.10549664497375488,0.14598049141759514,0.0,0.11282078947598197
kmeans,0,250,5,3,3,-736.2023168886775,"[[0.70919067 0.95610425 0.76406036]
 [0.43072702 0.9122085  0.95610425]
 [0.59122085 0.48010974 0.33470508]
 [0.59122085 0.40877915 0.48010974]
 [0.15363512 0.95610425 0.10973937]]","[[1 3 1]
 [1 2 1]
 [1 2 3]
 [2 2 3]
 [2 3 2]]",[0.16706199 0.05378959 0.52419602 0.11895899 0.13599341],0.09696793556213379,0.27369583177634,0.5555555555555556,0.19938392526916618
kmeans,1,250,5,3,3,-717.5353019564973,"[[0.3648834  0.2085048  0.95610425]
 [0.45816187 0.95610425 0.30178326]
 [0.30178326 0.59122085 0.7914952 ]
 [0.18655693 0.81344307 0.95610425]
 [0.3648834  0.48010974 0.51989026]]","[[2 1 3]
 [2 1 3]
 [2 3 1]
 [3 3 1]
 [2 1 1]]",[0.04303866 0.20613132 0.45106566 0.02071011 0.27905424],0.17218995094299316,0.3980996188317271,0.6666666666666666,0.2377889692658293
kmeans,2,250,5,3,3,-782.7173131510974,"[[0.25788752 0.45816187 0.37585734]
 [0.40877915 0.29080933 0.3648834 ]
 [0.45816187 0.33470508 0.48010974]
 [0.3648834  0.40877915 0.95610425]
 [0.76406036 0.48010974 0.95610425]]","[[1 2 2]
 [3 3 1]
 [1 1 3]
 [1 2 1]
 [3 3 1]]",[0.34044279 0.19404446 0.17430717 0.14702808 0.1441775 ],0.22701692581176758,0.18063893798889188,0.6666666666666666,0.3315646640228176
kmeans,3,250,5,3,3,-786.1764111510349,"[[0.43072702 0.95610425 0.6351166 ]
 [0.95610425 0.66529492 0.10973937]
 [0.2085048  0.33470508 0.89026063]
 [0.95610425 0.18655693 0.33196159]
 [0.59122085 0.59122085 0.25788752]]","[[2 3 1]
 [1 1 1]
 [2 1 1]
 [3 1 2]
 [2 2 3]]",[0.07936429 0.11169407 0.12116602 0.28958772 0.39818791],0.15620803833007812,0.17752418715145282,0.6666666666666666,0.25197388981416685
kmeans,4,250,5,3,3,-661.7306145336905,"[[0.95610425 0.54183813 0.74211248]
 [0.9122085  0.43072702 0.9122085 ]
 [0.76406036 0.95610425 0.95610425]
 [0.66529492 0.81344307 0.04389575]
 [0.95610425 0.0877915  0.56927298]]","[[3 2 2]
 [1 2 3]
 [2 1 1]
 [2 1 2]
 [2 3 1]]",[0.04337839 0.38568066 0.093515   0.23708446 0.24034149],0.08545207977294922,0.08819057595242759,0.6666666666666666,0.2943209580499815
kmeans,5,250,5,3,3,-718.0194554995442,"[[0.10973937 0.66803841 0.6351166 ]
 [0.95610425 0.45816187 0.95610425]
 [0.95610425 0.69821674 0.95610425]
 [0.51989026 0.33196159 0.95610425]
 [0.10973937 0.76406036 0.95610425]]","[[1 2 2]
 [3 2 2]
 [3 2 3]
 [3 1 1]
 [3 1 3]]",[0.46012447 0.18513567 0.12019535 0.1022097  0.13233481],0.10653305053710938,0.1875679998924996,0.8888888888888888,0.2934544079680044
kmeans,6,250,5,3,3,-715.8373978007337,"[[0.9122085  0.7914952  0.66803841]
 [0.9122085  0.0877915  0.9122085 ]
 [0.62414266 0.66529492 0.66529492]
 [0.66529492 0.04389575 0.15363512]
 [0.54183813 0.25788752 0.76406036]]","[[3 2 1]
 [3 3 3]
 [2 2 2]
 [1 1 2]
 [3 2 3]]",[0.29868971 0.01849938 0.22557688 0.13094151 0.32629251],0.17174386978149414,0.24535919325531266,0.3333333333333333,0.17554067652246333
kmeans,7,250,5,3,3,-744.2715277718055,"[[0.95610425 0.76406036 0.23593964]
 [0.95610425 0.56927298 0.95610425]
 [0.69821674 0.6351166  0.18655693]
 [0.15363512 0.18655693 0.33196159]
 [0.43072702 0.9122085  0.18655693]]","[[1 2 1]
 [1 2 3]
 [3 3 1]
 [1 3 1]
 [2 2 2]]",[0.24046358 0.07464371 0.19557471 0.18694099 0.30237701],0.1951279640197754,0.18166078444272835,0.5555555555555556,0.19846465546482722
kmeans,8,250,5,3,3,-753.2624978457119,"[[0.18655693 0.89026063 0.37585734]
 [0.74211248 0.30178326 0.66803841]
 [0.04389575 0.76406036 0.95610425]
 [0.33470508 0.15363512 0.33196159]
 [0.81344307 0.2085048  0.40877915]]","[[3 1 2]
 [1 1 2]
 [3 1 3]
 [2 3 2]
 [2 3 1]]",[0.39986981 0.22591694 0.04958111 0.19995821 0.12467394],0.19587993621826172,0.32461556606363784,0.7777777777777778,0.2486733713419709
kmeans,9,250,5,3,3,-753.3783586318812,"[[0.23593964 0.59122085 0.48010974]
 [0.23593964 0.81344307 0.81344307]
 [0.95610425 0.76406036 0.59122085]
 [0.66529492 0.33196159 0.2085048 ]
 [0.69821674 0.48010974 0.54183813]]","[[3 1 3]
 [3 3 1]
 [1 2 2]
 [3 2 2]
 [3 1 1]]",[0.24602701 0.25362894 0.0181231  0.30810608 0.17411487],0.08841300010681152,0.3179047939289037,0.3333333333333333,0.178511995084883
random,0,250,5,5,2,-811.2486701105585,"[[0.33196159 0.81344307 0.30178326 0.51989026 0.23593964]
 [0.95610425 0.23593964 0.9122085  0.43072702 0.70919067]
 [0.81344307 0.76406036 0.89026063 0.62414266 0.40877915]
 [0.81344307 0.25788752 0.66803841 0.45816187 0.54183813]
 [0.10973937 0.2085048  0.40877915 0.18655693 0.0877915 ]]","[[1 2 2 1 2]
 [2 2 2 2 2]
 [2 1 1 2 1]
 [1 1 1 1 2]
 [1 2 2 1 1]]",[0.16756644 0.28261766 0.13786377 0.23873333 0.17321881],0.08267998695373535,0.0417761632732751,0.0,0.06822259919995427
random,1,250,5,5,2,-786.9771539907283,"[[0.40877915 0.48010974 0.66529492 0.9122085  0.62414266]
 [0.04389575 0.51989026 0.81344307 0.76406036 0.2085048 ]
 [0.18655693 0.37585734 0.89026063 0.7914952  0.95610425]
 [0.40877915 0.14266118 0.76406036 0.81344307 0.76406036]
 [0.18655693 0.04389575 0.3648834  0.48010974 0.81344307]]","[[2 2 1 1 2]
 [2 2 2 2 1]
 [2 2 1 2 2]
 [1 1 2 1 1]
 [1 2 1 1 2]]",[0.19165871 0.08397689 0.23771785 0.30168321 0.18496333],0.11526989936828613,0.04202186051134429,0.1,0.10491383933353679
random,2,250,5,5,2,-793.649695594708,"[[0.48010974 0.33470508 0.81344307 0.10973937 0.59122085]
 [0.25788752 0.04389575 0.95610425 0.14266118 0.48010974]
 [0.04389575 0.59122085 0.48010974 0.66529492 0.33470508]
 [0.84636488 0.66803841 0.15363512 0.23593964 0.43072702]
 [0.62414266 0.66529492 0.70919067 0.76406036 0.95610425]]","[[1 2 2 1 1]
 [2 2 2 1 2]
 [1 2 2 2 2]
 [2 2 1 1 1]
 [1 1 2 2 2]]",[0.18940644 0.14128956 0.26588066 0.24964253 0.15378082],0.4769248962402344,0.08869353160373931,0.1,0.10131997504935915
random,3,250,5,5,2,-739.5208386414015,"[[0.0877915  0.48010974 0.40877915 0.9122085  0.9122085 ]
 [0.95610425 0.25788752 0.54183813 0.81344307 0.04389575]
 [0.59122085 0.45816187 0.76406036 0.81344307 0.62414266]
 [0.9122085  0.9122085  0.14266118 0.04389575 0.56927298]
 [0.81344307 0.40877915 0.23593964 0.48010974 0.89026063]]","[[1 1 2 2 1]
 [1 1 2 2 2]
 [1 2 2 2 1]
 [2 2 2 2 1]
 [1 2 2 1 1]]",[0.24327011 0.09116157 0.17273637 0.26556027 0.22727167],0.09093093872070312,0.05917885695343698,0.1,0.14027526405311302
random,4,250,5,5,2,-712.4165692159497,"[[0.7914952  0.9122085  0.76406036 0.76406036 0.54183813]
 [0.33470508 0.33470508 0.66803841 0.04389575 0.04389575]
 [0.95610425 0.30178326 0.54183813 0.04389575 0.25788752]
 [0.89026063 0.85733882 0.95610425 0.85733882 0.9122085 ]
 [0.0877915  0.25788752 0.25788752 0.10973937 0.18655693]]","[[1 1 2 2 2]
 [1 2 1 1 2]
 [1 1 2 2 2]
 [2 2 2 1 1]
 [1 1 1 1 1]]",[0.17528366 0.10952726 0.18525562 0.37478561 0.15514785],0.07786679267883301,0.02056592477742926,0.1,0.09977917274462363
random,5,250,5,5,2,-797.8541446450267,"[[0.25788752 0.76406036 0.48010974 0.59122085 0.3648834 ]
 [0.59122085 0.54183813 0.59122085 0.74211248 0.33196159]
 [0.33470508 0.81344307 0.76406036 0.52400549 0.74211248]
 [0.62414266 0.14266118 0.95610425 0.40877915 0.62414266]
 [0.54183813 0.76406036 0.76406036 0.51989026 0.84636488]]","[[2 1 1 2 2]
 [1 1 2 1 2]
 [1 1 2 1 1]
 [1 2 1 2 2]
 [2 2 1 2 1]]",[0.19225096 0.2604477  0.09590541 0.23044999 0.22094594],0.4740140438079834,0.04114950346952458,0.2,0.09952765384608084
random,6,250,5,5,2,-771.1554142301113,"[[0.18655693 0.04389575 0.76406036 0.95610425 0.25788752]
 [0.9122085  0.76406036 0.81344307 0.33196159 0.04389575]
 [0.45816187 0.66803841 0.81344307 0.66529492 0.0877915 ]
 [0.2085048  0.33196159 0.84636488 0.81344307 0.33470508]
 [0.81344307 0.43072702 0.76406036 0.6351166  0.95610425]]","[[1 2 2 1 1]
 [2 2 1 1 2]
 [2 2 2 2 2]
 [1 2 2 1 1]
 [1 2 1 1 1]]",[0.24547306 0.15805004 0.18706288 0.22859603 0.180818  ],0.4719047546386719,0.056511801585398966,0.1,0.0989035868184431
