init,seed,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
kmeans,8,250,3,3,2,-444.13777455001286,"[[0.2085048  0.95610425 0.14266118]
 [0.40877915 0.95610425 0.81344307]
 [0.95610425 0.81344307 0.95610425]]","[[2 2 2]
 [2 1 2]
 [1 2 1]]",[0.3056254  0.61162586 0.08274875],0.03271913528442383,0.39585185248395627,0.3333333333333333,0.21497065852748012
kmeans,9,250,3,3,2,-454.40079367024254,"[[0.95610425 0.59122085 0.95610425]
 [0.04389575 0.66803841 0.95610425]
 [0.95610425 0.76406036 0.95610425]]","[[2 1 1]
 [2 1 2]
 [1 1 1]]",[0.28964484 0.42045653 0.28989863],0.008207082748413086,0.16441763360275216,0.3333333333333333,0.27964919240768066
random,0,250,3,3,3,-709.4202746899147,"[[0.95610425 0.48010974 0.81344307]
 [0.51989026 0.54183813 0.9122085 ]
 [0.10973937 0.18655693 0.04389575]]","[[1 2 1]
 [2 2 3]
 [3 3 1]]",[0.35436921 0.36563772 0.27999307],0.0588679313659668,0.0471378290234605,0.2222222222222222,0.024700252755839296
random,1,250,3,3,3,-633.1304489804556,"[[0.37585734 0.81344307 0.95610425]
 [0.89026063 0.37585734 0.56927298]
 [0.25788752 0.18655693 0.48010974]]","[[2 1 1]
 [2 2 1]
 [1 2 1]]",[0.41963554 0.35236963 0.22799483],0.04717111587524414,0.06575327988439471,0.0,0.027700127135448466
random,2,250,3,3,3,-713.9706455308279,"[[0.15363512 0.40877915 0.70919067]
 [0.76406036 0.69821674 0.62414266]
 [0.51989026 0.69821674 0.10973937]]","[[1 2 1]
 [3 3 1]
 [3 2 3]]",[0.40281627 0.30095077 0.29623297],0.054659128189086914,0.09311909727665495,0.1111111111111111,0.038977016679760904
random,3,250,3,3,3,-797.860010959992,"[[0.2085048  0.0877915  0.23593964]
 [0.25788752 0.74211248 0.25788752]
 [0.33196159 0.40877915 0.43072702]]","[[3 1 2]
 [1 1 1]
 [2 2 3]]",[0.3430902  0.36796934 0.28894046],0.04480099678039551,0.07750226839290537,0.0,0.0528115024477302
random,4,250,3,3,3,-738.6769602177211,"[[0.04389575 0.45816187 0.6351166 ]
 [0.9122085  0.74211248 0.10973937]
 [0.54183813 0.40877915 0.74211248]]","[[2 3 2]
 [2 1 1]
 [3 2 3]]",[0.28738005 0.39051134 0.32210861],0.02705836296081543,0.047785456147921936,0.1111111111111111,0.04334312508111696
random,5,250,3,3,3,-759.6206617662541,"[[0.74211248 0.40877915 0.29080933]
 [0.14266118 0.29080933 0.81344307]
 [0.45816187 0.10973937 0.85733882]]","[[3 2 3]
 [3 1 2]
 [1 1 3]]",[0.28361959 0.40259631 0.3137841 ],0.013534069061279297,0.012135048852205121,0.0,0.04091971068317399
random,6,250,3,3,3,-736.8231340223501,"[[0.25788752 0.66529492 0.33470508]
 [0.48010974 0.81344307 0.74211248]
 [0.23593964 0.18655693 0.18655693]]","[[3 2 1]
 [3 2 3]
 [1 3 2]]",[0.33333759 0.38163929 0.28502312],0.044068098068237305,0.04066980315508745,0.0,0.035019415085339886
random,7,250,3,3,3,-610.4712058113328,"[[0.89026063 0.33470508 0.40877915]
 [0.74211248 0.14266118 0.81344307]
 [0.66803841 0.62414266 0.33470508]]","[[1 2 3]
 [1 1 3]
 [1 2 3]]",[0.29757415 0.33553087 0.36689499],0.16988015174865723,0.17920694105040202,0.1111111111111111,0.09986810090093713
random,8,250,3,3,3,-652.5357596793733,"[[0.66529492 0.04389575 0.66529492]
 [0.18655693 0.30178326 0.40877915]
 [0.84636488 0.81344307 0.66803841]]","[[1 2 2]
 [2 3 1]
 [1 1 2]]",[0.23401962 0.2642913  0.50168907],0.09543895721435547,0.06209463468817638,0.0,0.079233035570473
random,9,250,3,3,3,-752.6585291995959,"[[0.0877915  0.23593964 0.18655693]
 [0.25788752 0.23593964 0.14266118]
 [0.76406036 0.95610425 0.0877915 ]]","[[3 1 3]
 [3 3 1]
 [3 2 3]]",[0.29233855 0.31498456 0.39267688],0.03912091255187988,0.03401644003925434,0.1111111111111111,0.04656597503203463
kmeans,0,250,3,3,3,-709.540862496387,"[[0.51989026 0.54183813 0.95610425]
 [0.10973937 0.18655693 0.04389575]
 [0.95610425 0.48010974 0.7914952 ]]","[[2 2 3]
 [3 3 1]
 [1 2 1]]",[0.35152313 0.28983233 0.35864455],0.05641603469848633,0.01589386474323769,0.4444444444444444,0.20192854516370826
kmeans,1,250,3,3,3,-635.9516962791117,"[[0.56927298 0.43072702 0.3648834 ]
 [0.04389575 0.95610425 0.69821674]
 [0.43072702 0.51989026 0.89026063]]","[[2 2 1]
 [3 1 1]
 [2 1 1]]",[0.34983588 0.03123649 0.61892764],0.22674012184143066,0.25326557907574526,0.3333333333333333,0.13024031065036817
kmeans,2,250,3,3,3,-716.8557874984112,"[[0.56927298 0.45816187 0.04389575]
 [0.18655693 0.52400549 0.66803841]
 [0.69821674 0.76406036 0.95610425]]","[[3 2 3]
 [1 2 1]
 [3 3 1]]",[0.39890356 0.37129867 0.22979777],0.15573692321777344,0.056168041445261656,0.4444444444444444,0.1617694875211629
kmeans,3,250,3,3,3,-800.8459559925777,"[[0.23593964 0.51989026 0.30178326]
 [0.45816187 0.48010974 0.18655693]
 [0.25788752 0.25788752 0.33470508]]","[[3 1 1]
 [1 1 2]
 [2 2 3]]",[0.3294697  0.27019511 0.4003352 ],0.07590293884277344,0.10022621888004334,0.2222222222222222,0.08634297630842218
kmeans,4,250,3,3,3,-738.633106992367,"[[0.59122085 0.45816187 0.89026063]
 [0.04389575 0.3648834  0.51989026]
 [0.9122085  0.76406036 0.10973937]]","[[3 2 3]
 [2 3 2]
 [2 1 1]]",[0.26793475 0.35260411 0.37946115],0.08517122268676758,0.062963186891195,0.4444444444444444,0.18321016294940684
kmeans,5,250,3,3,3,-759.6165798323266,"[[0.66803841 0.10973937 0.62414266]
 [0.48010974 0.33196159 0.43072702]
 [0.33470508 0.40877915 0.85733882]]","[[1 1 3]
 [3 2 3]
 [3 1 2]]",[0.26735749 0.39342112 0.33922139],0.08905291557312012,0.025633230506645083,0.4444444444444444,0.10115202479305885
kmeans,6,250,3,3,3,-741.0515870032419,"[[0.18655693 0.54183813 0.18655693]
 [0.95610425 0.69821674 0.3648834 ]
 [0.30178326 0.40877915 0.23593964]]","[[2 2 1]
 [3 2 3]
 [1 2 3]]",[0.24337435 0.34302297 0.41360267],0.045233964920043945,0.12638950646552413,0.1111111111111111,0.09047707268420191
kmeans,7,250,3,3,3,-610.209761738835,"[[0.66803841 0.45816187 0.6351166 ]
 [0.23593964 0.33196159 0.54183813]
 [0.95610425 0.29080933 0.66803841]]","[[1 2 1]
 [2 2 3]
 [1 2 3]]",[0.11353071 0.16686511 0.71960417],0.04087209701538086,0.365921952438147,0.2222222222222222,0.1292557602983348
kmeans,8,250,3,3,3,-650.4392027859765,"[[0.85733882 0.66803841 0.70919067]
 [0.18655693 0.45816187 0.45816187]
 [0.0877915  0.95610425 0.18655693]]","[[1 1 2]
 [2 2 1]
 [1 3 2]]",[0.67872851 0.19478198 0.12648951],0.04000687599182129,0.300059896011581,0.4444444444444444,0.1546454389908948
kmeans,9,250,3,3,3,-753.6666816371428,"[[0.95610425 0.6351166  0.04389575]
 [0.18655693 0.10973937 0.10973937]
 [0.40877915 0.0877915  0.0877915 ]]","[[3 2 3]
 [1 2 3]
 [2 2 1]]",[0.48822584 0.33187885 0.17989531],0.07894182205200195,0.1559712185970934,0.3333333333333333,0.14617113611652158
random,0,250,3,5,2,-773.2447218674216,"[[0.18655693 0.2085048  0.51989026 0.81344307 0.52400549]
 [0.45816187 0.81344307 0.3648834  0.66803841 0.3648834 ]
 [0.95610425 0.10973937 0.85733882 0.62414266 0.74211248]]","[[1 2 2 1 2]
 [2 2 2 2 2]
 [2 1 1 2 1]]",[0.35030277 0.31197197 0.33772526],0.01883077621459961,0.03168771476147534,0.0,0.019627192600116583
random,1,250,3,5,2,-634.5967709171689,"[[0.48010974 0.95610425 0.66803841 0.3648834  0.33470508]
 [0.37585734 0.18655693 0.76406036 0.95610425 0.43072702]
 [0.6351166  0.95610425 0.81344307 0.66803841 0.81344307]]","[[2 2 1 2 2]
 [2 2 2 2 1]
 [1 2 1 2 2]]",[0.25079425 0.26890829 0.48029746],0.05128192901611328,0.07516798041675565,0.1,0.04616498832885887
