init,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,250,5,5,3,-1242.7473410509635,"[[0.71694668 0.82189551 0.7333701  0.85851316 0.87104924]
 [0.71315587 0.5896989  0.70297152 0.69855179 0.58181067]
 [0.96064664 0.58737041 0.80972191 0.57872055 0.97699979]
 [0.80438847 0.75207895 0.61462517 0.81473862 0.79861423]
 [0.89153182 0.63858053 0.74095657 0.63155495 0.73152315]]","[[1 2 1 2 2]
 [2 3 3 3 1]
 [3 1 3 1 1]
 [1 3 2 3 3]
 [1 2 2 1 2]]",[0.07981122 0.15669761 0.31021709 0.28337873 0.16989534],1.3449900150299072,0.12122527848356905,0.3333333333333333,0.06052687955503842
kmeans,250,5,5,3,-1244.4212799727172,"[[0.72090336 0.81951119 0.74527581 0.77420881 0.72197044]
 [0.70040902 0.72078886 0.87384808 0.5551192  0.94877268]
 [0.77176356 0.85023341 0.58554787 0.7780652  0.76024157]
 [0.94926434 0.63506975 0.79588181 0.55388962 0.97253459]
 [0.77929592 0.7432296  0.59287306 0.63723023 0.81174685]]","[[1 1 2 3 3]
 [3 3 3 1 1]
 [1 3 2 3 3]
 [3 1 3 1 1]
 [1 2 2 2 2]]",[0.09526975 0.091842   0.29130722 0.27647475 0.24510628],1.324713945388794,0.15473147366400222,0.26666666666666666,0.04849969834629988
random,50,3,3,2,-89.31529475130574,"[[0.78839175 0.8085329  0.92779552]
 [0.8909877  0.64794708 0.54968739]
 [0.74027737 0.79402286 0.70272487]]","[[1 2 2]
 [2 2 1]
 [2 2 2]]",[0.38033946 0.27069421 0.34896634],0.08628416061401367,0.0569861919591294,0.16666666666666666,0.09213805161705874
kmeans,50,3,3,2,-87.87982089316247,"[[0.5833336  0.9999956  0.5833336 ]
 [0.9999956  0.9999956  0.93749905]
 [0.9999956  0.9999956  0.63636361]]","[[2 1 2]
 [1 2 2]
 [2 2 2]]",[0.24 0.32 0.44],0.016230106353759766,0.14597909736419826,0.16666666666666666,0.15474653536111954
random,50,3,3,3,-151.73216823101885,"[[0.79331061 0.51441459 0.81480405]
 [0.67563428 0.85457409 0.87958615]
 [0.78461835 0.75261903 0.78515077]]","[[1 3 1]
 [2 1 3]
 [2 2 3]]",[0.47662009 0.10285369 0.42052622],0.0998990535736084,0.14054628561666072,0.3333333333333333,0.05860380801319322
kmeans,50,3,3,3,-150.25814254948716,"[[0.67500592 0.76748708 0.96675324]
 [0.86331451 0.71468636 0.57305632]
 [0.81417325 0.74007293 0.80560857]]","[[1 3 1]
 [1 1 1]
 [2 2 3]]",[0.21275654 0.34581258 0.44143088],0.14338207244873047,0.08191368299516792,0.4444444444444444,0.0839035659840334
random,50,3,5,2,-140.0222081007878,"[[0.72658052 0.69174429 0.9914225  0.70207821 0.98744976]
 [0.51990826 0.99905935 0.68498412 0.53261752 0.69261344]
 [0.99742257 0.50544665 0.99996672 0.7557437  0.82813257]]","[[2 2 2 1 2]
 [2 2 2 1 1]
 [2 1 1 2 1]]",[0.26005206 0.26593745 0.47401049],0.21315288543701172,0.03947158532489672,0.1,0.0515414239430641
kmeans,50,3,5,2,-139.44830887142442,"[[0.9497592  0.53496542 0.9999956  0.74219305 0.86093092]
 [0.90622396 0.64662665 0.91518466 0.79410256 0.54426315]
 [0.96773512 0.94070985 0.89089154 0.53389272 0.86578178]]","[[2 2 1 2 1]
 [1 2 2 1 1]
 [2 2 2 1 2]]",[0.51106202 0.18141309 0.30752489],0.09339618682861328,0.09599141514582159,0.3,0.07443099224172696
random,50,3,5,3,-202.98436324393032,"[[0.82003498 0.99559422 0.60415404 0.61237231 0.68724943]
 [0.85810321 0.91247749 0.96621664 0.9999956  0.96511394]
 [0.60028298 0.99036694 0.7087693  0.70009883 0.66985106]]","[[1 2 2 3 3]
 [3 1 3 1 1]
 [2 3 3 3 2]]",[0.38797896 0.3896013  0.22241974],0.28136491775512695,0.04567581587489032,0.13333333333333333,0.022523287323614163
kmeans,50,3,5,3,-205.93881210984054,"[[0.61053252 0.82916444 0.63324963 0.77331975 0.59717873]
 [0.9039297  0.97768775 0.59272659 0.63378274 0.77586248]
 [0.83867125 0.89140771 0.96802891 0.9999956  0.96301273]]","[[2 3 3 3 2]
 [1 2 2 2 3]
 [3 1 3 1 1]]",[0.28179881 0.3157322  0.40246899],0.38108015060424805,0.08814787507941284,0.3333333333333333,0.05652685238833907
random,50,5,3,2,-90.40498395659716,"[[0.75379439 0.76297619 0.73766904]
 [0.6876899  0.7971527  0.52896963]
 [0.9668659  0.69077702 0.50580363]
 [0.54834259 0.99062862 0.88170241]
 [0.89677135 0.71249866 0.6641534 ]]","[[1 2 1]
 [1 2 1]
 [2 2 2]
 [1 2 2]
 [2 2 2]]",[0.1398243  0.15898952 0.17899688 0.32672825 0.19546105],0.0460820198059082,0.10259541948086248,0.6666666666666666,0.17294959920834038
kmeans,50,5,3,2,-89.99212368122404,"[[0.9999956  0.9999956  0.9999956 ]
 [0.9999956  0.81818054 0.9999956 ]
 [0.9999956  0.74999974 0.9999956 ]
 [0.9999956  0.9999956  0.9999956 ]
 [0.9999956  0.9230752  0.9999956 ]]","[[2 2 2]
 [2 2 1]
 [1 2 1]
 [2 1 2]
 [1 2 2]]",[0.28 0.22 0.16 0.08 0.26],0.02656698226928711,0.127968078101153,0.6666666666666666,0.21083938998082016
random,50,5,3,3,-138.4756000207656,"[[0.76650135 0.62970054 0.8822434 ]
 [0.58157535 0.87912031 0.6570188 ]
 [0.98713182 0.86411297 0.93772365]
 [0.75729059 0.85592037 0.78804352]
 [0.81585045 0.88121414 0.72806131]]","[[1 1 3]
 [2 3 3]
 [1 3 1]
 [2 2 3]
 [1 3 1]]",[0.20764645 0.16475292 0.26152225 0.20032322 0.16575516],0.4109809398651123,0.15282280755674058,0.4444444444444444,0.10649292418273384
kmeans,50,5,3,3,-133.7180413069865,"[[0.65019214 0.96304753 0.7026027 ]
 [0.65272377 0.9999956  0.70486927]
 [0.8681538  0.66109349 0.9999956 ]
 [0.96994142 0.87504577 0.85735505]
 [0.93817879 0.9999956  0.9999956 ]]","[[2 2 3]
 [3 3 2]
 [2 3 3]
 [1 3 1]
 [1 1 3]]",[0.21488009 0.15029662 0.11988152 0.41256144 0.10238032],0.44371581077575684,0.21463948416511217,0.7777777777777778,0.1207656617865811
random,50,5,5,2,-164.04867857984252,"[[0.86027705 0.78177493 0.50889912 0.74511486 0.75858126]
 [0.69010198 0.89376944 0.66075551 0.72857896 0.83745339]
 [0.52822304 0.92481915 0.68089675 0.82564235 0.70973998]
 [0.85880593 0.55046314 0.80504654 0.60974615 0.68568558]
 [0.80660025 0.78451654 0.50352612 0.81648245 0.97469946]]","[[2 2 2 2 2]
 [1 1 1 1 2]
 [1 1 2 2 1]
 [2 2 2 2 1]
 [1 2 2 1 2]]",[0.18375162 0.22106034 0.2148313  0.1780906  0.20226614],0.37456464767456055,0.05662758372383314,0.4,0.09042028949086647
kmeans,50,5,5,2,-161.92996177618386,"[[0.9999956  0.9999956  0.84076532 0.7716885  0.5244322 ]
 [0.8855092  0.64729196 0.99997635 0.83219737 0.99785206]
 [0.9999956  0.51940489 0.53869279 0.64801275 0.57666212]
 [0.9999956  0.99996232 0.9999956  0.84334564 0.9999956 ]
 [0.68260333 0.9999956  0.80808819 0.73212746 0.84996315]]","[[1 1 2 2 1]
 [1 1 1 1 2]
 [2 1 2 2 1]
 [2 1 2 2 2]
 [1 2 2 1 2]]",[0.1902985  0.18899094 0.40388152 0.03759252 0.17923653],0.375654935836792,0.13486641905968338,0.3,0.13555026925542574
random,50,5,5,3,-230.12596166571066,"[[0.68788346 0.72377017 0.99934799 0.65620721 0.82073364]
 [0.97477579 0.73373684 0.57276399 0.85627746 0.77124285]
 [0.9999956  0.84912301 0.91113705 0.58674422 0.9999956 ]
 [0.53008127 0.96231389 0.63035288 0.96755373 0.81173784]
 [0.85928629 0.53348419 0.7842926  0.69512784 0.71278602]]","[[1 2 1 2 1]
 [1 2 2 3 2]
 [3 1 3 1 1]
 [1 3 3 3 3]
 [1 3 2 3 3]]",[0.1664764  0.28544482 0.1961093  0.18185208 0.17011741],0.6766688823699951,0.11536951525039871,0.4666666666666667,0.08579816804949163
kmeans,50,5,5,3,-227.96117399218005,"[[0.78181185 0.84038204 0.65328399 0.8964198  0.93127516]
 [0.9999956  0.94586947 0.90439904 0.62850026 0.9999956 ]
 [0.9999956  0.99956982 0.9999956  0.87224946 0.62653279]
 [0.71276536 0.69951212 0.88831649 0.60705022 0.78405736]
 [0.94223715 0.68624777 0.6187087  0.83396297 0.80149376]]","[[1 3 2 3 3]
 [3 1 3 1 1]
 [3 3 3 3 1]
 [1 2 1 1 1]
 [1 2 2 3 2]]",[0.2345233  0.17094451 0.06470948 0.20984201 0.31998069],0.6458160877227783,0.21372956435608792,0.26666666666666666,0.0744916495706299
