init,n,n_clusters,d,n_cats,ll,pi,mu,alpha,run_time,delta_alpha,delta_mu,delta_pi
random,250,5,5,3,-1187.6769283270262,"[[0.46797944 0.812119   0.99028154 0.68942359 0.33185382]
 [0.80780583 0.17178427 0.61056872 0.23050749 0.9752514 ]
 [0.52072437 0.49438288 0.10245975 0.86595313 0.36084041]
 [0.22545579 0.08991379 0.75828947 0.4279754  0.58972647]
 [0.97059772 0.81442983 0.07636316 0.11391267 0.75129628]]","[[1 2 1 2 2]
 [3 1 3 1 1]
 [1 3 2 3 3]
 [1 3 2 2 2]
 [1 2 1 1 2]]",[0.06568794 0.37688254 0.39152438 0.08102858 0.08487656],304.5259530544281,0.018834430243499477,0.06666666666666667,0.05305654753209578
kmeans,250,5,5,3,-1188.2469343162504,"[[0.86301484 0.41622233 0.42628936 0.79778008 0.04914312]
 [0.11556985 0.41211164 0.48268088 0.60233783 0.26737708]
 [0.78809681 0.83534718 0.34005751 0.19536783 0.81627945]
 [0.78232211 0.38675884 0.29899129 0.65878328 0.78977291]
 [0.81783232 0.18859822 0.60128919 0.25851343 0.9900454 ]]","[[1 3 3 3 3]
 [3 3 2 3 2]
 [1 2 1 2 2]
 [1 3 1 3 3]
 [3 1 3 1 1]]",[0.13910262 0.20452618 0.13175831 0.15972581 0.36488708],315.2071418762207,0.1734773671392849,0.4666666666666667,0.1353002259861031
random,50,3,3,2,-90.36347963482689,"[[0.54394313 0.5484599  0.31495668]
 [0.0455196  0.38900738 0.53842503]
 [0.85391697 0.68392653 0.35228789]]","[[1 2 2]
 [2 2 2]
 [2 2 2]]",[0.28770878 0.31683257 0.39545865],0.25922465324401855,0.11417324432103877,0.16666666666666666,0.0807297721171863
kmeans,50,3,3,2,-88.10347793897704,"[[1.         0.40595918 1.        ]
 [1.         0.47297495 0.37025507]
 [1.         1.         1.        ]]","[[2 2 2]
 [1 2 2]
 [2 2 1]]",[0.42 0.4  0.18],0.5184507369995117,0.14319005522656908,0.16666666666666666,0.25125909952018194
random,50,3,3,3,-134.77284667584115,"[[0.75880711 0.71459478 0.80235676]
 [0.64827243 0.69432336 0.97318889]
 [0.18607193 0.59757272 0.13357825]]","[[1 2 1]
 [2 2 3]
 [2 1 1]]",[0.24140894 0.43690772 0.32168334],17.78447914123535,0.08215640007852572,0.2222222222222222,0.10754171962310936
kmeans,50,3,3,3,-139.5168971828313,"[[0.7684485  0.18480094 1.        ]
 [0.4762497  0.37944827 0.67884929]
 [0.51765134 0.71109199 0.66639766]]","[[2 1 3]
 [1 1 1]
 [2 2 3]]",[0.09424533 0.4020903  0.50366437],15.723005056381226,0.16092115652283662,0.6666666666666666,0.12235573067977537
random,50,3,5,2,-145.72985894996478,"[[0.22865774 0.58464847 0.94840046 0.89146074 0.91224692]
 [0.33165485 0.87184297 0.28187981 0.78047668 0.26753296]
 [0.99922855 0.04514403 0.80639301 0.33347161 0.59000038]]","[[1 2 2 1 2]
 [2 2 2 2 2]
 [2 1 1 2 1]]",[0.20605863 0.36968769 0.42425368],1.0030338764190674,0.026009940764469663,0.0,0.07438887005793429
kmeans,50,3,5,2,-149.02367915832042,"[[1.         0.11064515 0.05139497 0.37063397 0.06233838]
 [1.         0.7334068  1.         0.83840602 1.        ]
 [0.07428702 0.9165378  0.4489057  0.56038433 0.16339268]]","[[2 2 1 2 1]
 [1 2 2 1 2]
 [2 2 1 2 1]]",[0.60294755 0.14823427 0.24881817],0.9769182205200195,0.1327456288520738,0.2,0.2433370368320255
random,50,3,5,3,-203.06776496304113,"[[0.40753738 0.99933547 0.33108205 0.2727665  0.08300866]
 [0.99999246 0.72824919 0.78837891 0.99999498 0.84952311]
 [0.12589886 0.93453264 0.26251891 0.66110247 0.46986301]]","[[1 2 1 3 2]
 [3 1 3 1 1]
 [1 3 2 3 2]]",[0.45607275 0.37743865 0.16648859],21.472769737243652,0.04001350201167096,0.06666666666666667,0.04423068716460398
kmeans,50,3,5,3,-201.8100727072663,"[[0.56265197 0.69844173 0.50719634 0.82683112 0.1827102 ]
 [0.60192615 0.62315529 0.46179853 0.66263861 0.29935504]
 [1.         0.72162013 0.79498937 1.         0.85736138]]","[[2 2 2 2 2]
 [1 2 1 3 2]
 [3 1 3 1 1]]",[0.20167284 0.42074592 0.37758124],26.190228939056396,0.12019826226436396,0.3333333333333333,0.10140592307317874
random,50,5,3,2,-91.94217864646312,"[[0.8779633  0.42051532 0.530494  ]
 [0.75355787 0.62811846 0.30005582]
 [0.83134872 0.70193324 0.85048526]
 [0.40265826 0.95831178 0.16567814]
 [0.04899324 0.36302381 0.36459622]]","[[2 2 2]
 [1 2 2]
 [1 2 1]
 [2 2 1]
 [2 2 2]]",[0.21053867 0.161818   0.20956613 0.23864421 0.17943298],0.3051309585571289,0.05938347637555987,0.5,0.2900169960825287
kmeans,50,5,3,2,-95.3718558692163,"[[1.         0.0098308  1.        ]
 [1.         1.         1.        ]
 [1.         1.         1.        ]
 [0.32194516 1.         0.32194516]
 [1.         1.         1.        ]]","[[2 2 2]
 [2 2 1]
 [1 2 1]
 [1 1 1]
 [1 2 2]]",[0.29517135 0.16       0.26       0.12482865 0.16      ],0.28906702995300293,0.09788567902416799,0.6666666666666666,0.3357814922118392
random,50,5,3,3,-147.9868059734738,"[[0.72270792 0.95473098 0.26200236]
 [0.23623717 0.05004651 0.66436667]
 [0.82970562 0.86754035 0.99910353]
 [0.32072592 0.68621283 0.47404295]
 [0.37019514 0.62364042 0.17985121]]","[[1 2 2]
 [2 1 3]
 [1 3 1]
 [1 1 3]
 [2 3 3]]",[0.22455119 0.17666691 0.20703103 0.12846987 0.263281  ],19.521785974502563,0.06859309168340065,0.1111111111111111,0.12063038436035756
kmeans,50,5,3,3,-146.88699353205374,"[[0.27886565 0.85293179 0.71208699]
 [0.77340526 0.88472328 0.33688992]
 [0.221367   1.         0.41094269]
 [0.46068167 0.13148869 0.13664209]
 [0.86832783 0.76010185 1.        ]]","[[2 1 3]
 [1 2 2]
 [2 3 3]
 [2 3 3]
 [1 3 1]]",[0.15738073 0.24156994 0.18483329 0.19998455 0.21623149],20.428016901016235,0.14337293798194972,0.7777777777777778,0.3561100347531321
random,50,5,5,2,-153.765859418024,"[[0.47791337 0.94994353 0.26971588 0.70025889 0.89854926]
 [0.96095133 0.8955501  0.86639057 0.99809369 0.67545642]
 [0.69636282 0.97735176 0.98021601 0.56682488 0.5982922 ]
 [0.83220869 0.22026383 0.68770189 0.1449334  0.6866256 ]
 [0.65516075 0.05766858 0.18060715 0.23162243 0.24466307]]","[[1 2 2 1 2]
 [2 1 2 2 2]
 [2 1 1 1 1]
 [1 1 1 2 2]
 [1 2 2 2 1]]",[0.23410299 0.15138355 0.13257136 0.31234989 0.16959221],1.5770478248596191,0.09572750983799576,0.3,0.13594421315330368
kmeans,50,5,5,2,-156.41979209390175,"[[0.20014201 0.59135495 0.19699244 1.         0.3239251 ]
 [0.40292617 0.33680922 0.10511959 0.57184822 1.        ]
 [0.84576772 0.996468   0.999841   0.99442249 1.        ]
 [1.         1.         1.         0.6507926  0.75695502]
 [1.         0.14387554 0.19869028 0.25974676 0.05434027]]","[[2 1 2 2 2]
 [1 2 1 1 2]
 [2 1 1 1 1]
 [1 1 1 2 2]
 [1 2 1 1 2]]",[0.31174701 0.33174419 0.08632955 0.03958051 0.23059875],1.5145721435546875,0.09895647656912343,0.4,0.20969960343533112
random,50,5,5,3,-237.84792102714363,"[[0.41080844 0.28317445 0.99423665 0.98955493 0.27830863]
 [0.52793767 0.42584282 0.77182822 0.38117651 0.86450063]
 [0.57944387 0.57676881 0.11035615 0.87263321 0.4746214 ]
 [0.48156098 0.38548099 0.91386008 0.82960944 0.60419305]
 [0.99854937 0.35345336 0.38635968 0.09980177 0.96013941]]","[[2 3 1 2 2]
 [3 1 3 1 1]
 [1 3 1 3 3]
 [1 2 2 2 2]
 [1 2 1 1 2]]",[0.09210275 0.25464518 0.44829597 0.07931142 0.12564469],36.66548204421997,0.06841623769037572,0.06666666666666667,0.11677140666179874
kmeans,50,5,5,3,-238.6155175640304,"[[0.79197616 0.99673061 1.         0.38756886 1.        ]
 [1.         0.44302265 0.56264942 0.41711522 0.77144878]
 [0.47458801 0.52084907 0.21246044 1.         0.35766673]
 [0.59567809 0.32639815 0.36471329 0.38469489 0.66478899]
 [0.11209981 0.3884799  0.91653393 0.7369001  0.80845155]]","[[1 3 1 3 3]
 [3 1 3 2 1]
 [1 3 2 3 3]
 [1 2 1 2 2]
 [1 1 3 1 1]]",[0.11061555 0.1422668  0.33755378 0.28756495 0.12199891],45.85328197479248,0.11606292793134168,0.2,0.0958924616989238
